RSRP,RSRQ,RSSI,SINR,FB,EI,CI,network,LATITUDE,LONGITUDE,RSP,Hm,Hb,CCI,Husr,deltaH,L,D,dg,UCI,dr,dw,hv,db,do,ekparam,ample,LOS,COST231,SPM,TR38901
-67.0,-87.0,,98.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-67.0,-87.0,,98.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-75.0,-90.0,,106.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-69.0,-89.0,,103.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-69.0,-89.0,,103.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-72.0,-91.0,,106.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-72.0,-91.0,,106.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-65.0,-89.0,,93.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-65.0,-89.0,,93.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-82.0,-89.0,,13.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
-60.0,-86.0,,75.0,3408.96,524287,4095,1,24.828652,102.848843,16.39,1,2006,18,1977,29,200.3,202.39,25.56,18,15.72,0,0.0,65.68,93.33,"[{'height': 0, 'distance': 0.0, 'elevation': 1977.0}, {'height': 0, 'distance': 35.75, 'elevation': 1977.0}, {'height': 0, 'distance': 60.35, 'elevation': 1977.0}, {'height': 0, 'distance': 86.6, 'elevation': 1977.0}]","[{'start_distance': 0, 'environment': 'db', 'length': 37.6}, {'start_distance': 37.6, 'environment': 'do', 'length': 22.25}, {'start_distance': 59.85, 'environment': 'db', 'length': 28.1}, {'start_distance': 87.95, 'environment': 'do', 'length': 13.5}, {'start_distance': 101.45, 'environment': 'dr', 'length': 6.77}, {'start_distance': 108.22, 'environment': 'dg', 'length': 25.56}, {'start_distance': 133.78, 'environment': 'do', 'length': 15.14}, {'start_distance': 148.92, 'environment': 'dr', 'length': 8.96}, {'start_distance': 157.88, 'environment': 'do', 'length': 42.44}]",True,-75.04898689979582,-69.21133342882864,-72.99859721563305
