Epoch,Train Loss,Validation Loss
1,3.5862307310777983,3.624015286008386
2,2.648230439819494,2.9704717503699243
3,2.7327340024957127,3.1389228636440993
4,2.342755522509266,3.2259876073299942
5,2.2635053174264566,3.292166685913141
6,2.1473154034549498,3.676542347662674
7,2.3402076009522714,4.49746996982613
8,2.632959796574209,4.5128588941102405
9,2.6903670253127254,3.5720408910430193
10,2.408419607345869,3.696144252151922
11,2.52037530289511,4.080613117627526
12,2.245584926116458,5.111708792250419
13,3.6426278921075057,4.292225847389309
14,2.1357139720134057,4.190645708738324
15,2.104710816268136,3.6059169294894327
16,1.8817254493257571,3.6409418685004815
17,1.8507405665769643,3.781009520069343
18,1.8831504936886734,4.182270155994885
19,1.9363114472160956,3.9369067980005528
20,2.3700115505007644,3.757556208411602
21,2.1088250477419876,3.6621184071974744
22,1.9349879656103521,3.6602292681909465
23,2.093358733025695,3.8817875930119405
24,1.9740186827390223,3.843619749174217
25,2.032690545096803,3.8619249387861694
26,2.239098304719812,3.8371939517769023
27,2.1255755326581225,3.746334018906235
28,2.0459533732804127,4.128305394572659
29,2.1122519468001175,4.114993560849453
30,2.257536039523221,4.016853031552264
31,2.2118974381082532,4.228568382163969
32,2.136461877580216,4.25455444010088
33,2.3737736099560958,4.021072786749867
34,2.317462069409191,4.29351318837032
35,2.051579226526996,4.058982616143629
36,2.2105389687165937,4.094181980032247
37,1.9540615992663866,4.094539551157335
38,1.7993406847657543,4.070235500287569
39,2.075242219590486,4.317954905376301
40,2.3000578323570324,4.173916937622914
41,2.331254057135005,4.274941344282703
42,2.210473128866988,4.216831874592688
43,2.069766285484954,5.910292884474408
44,2.2747528433817643,4.364470042160481
45,2.1306582119095867,4.3851008138898235
46,1.9883760359090519,4.347188113458961
47,1.9499119570156325,4.394947283125077
48,2.0015316826877863,4.727058175207435
49,1.9420249065350494,4.300547989511516
50,2.0626897758953873,4.393792593602117
51,4.897632941830916,3.5789484987353055
52,3.7786914321779608,3.0999946473477284
53,3.0469525009981338,3.052171700820652
54,2.9959484239407193,3.1312767909781516
55,2.6712628101403024,3.583036275261728
56,2.6223100306875327,3.2609038250186346
57,2.362680059521902,3.384093277964108
58,2.3376314325235437,3.1474292407236297
59,2.3301425824625532,3.2353266927447226
60,2.2662959292153357,4.145148866802405
61,2.48098491939037,3.250646241623194
62,2.3921712959497805,3.6536660899844358
63,2.337403631696908,3.6549502208758993
64,2.330887438578694,3.544052423784188
65,2.363002254357326,3.4639692433330556
66,2.3429238587191774,3.2507558460913195
67,2.4654816444984866,4.527307509348565
68,2.6703228314974874,4.436104666131832
69,2.5626685192937746,3.459818014610558
70,2.5763374456149135,4.018367986217156
71,2.30870258673722,3.393968262940739
72,2.187437338253373,3.3615843214376424
73,2.2749160894355294,3.305272620634028
74,2.4174793241525774,4.151111117027819
75,2.646126661535053,4.430135868452513
76,2.3326828818076786,3.4773641129223587
77,2.2793322952399566,3.5758178155791858
78,2.327686149065863,3.4374532305544574
79,2.6670580712453638,3.482501457976094
80,2.3583314882190045,3.6289994006760025
81,2.44744256438997,3.4980562533449513
82,2.343413001371859,3.88689209857521
83,2.327718074304844,3.8461092608741354
84,2.2399962377852907,3.651616331520498
85,2.3735129405974513,3.727307423453396
86,2.2000782653320448,3.583457525566186
87,2.178552334323896,3.863488020300224
88,2.333312811246719,3.7339723534034164
89,2.186364691413407,3.8905144896636794
90,2.3230546528317397,3.7899547728258307
91,2.7713670809846853,3.7391598429421498
92,2.5753448157266403,3.7650800701348763
93,2.536609151056753,4.0550321322641745
94,2.236043423606751,3.8036120637827366
95,2.298344947868231,3.963627228933939
96,2.1604773428761646,4.0487172090787675
97,2.2629439200763,3.867627716168232
98,2.16167540334096,5.133233010225997
99,2.271022925958249,3.740785223510832
100,2.1722462654612054,4.058741172760181
