Epoch,Train Loss,Validation Loss
1,12.071752046624795,5.365580465201772
2,5.913417239862873,4.0764012776835115
3,4.779696131734147,3.845701988560851
4,4.422024557471364,4.4837892296400135
5,4.160736740990336,4.42758588327867
6,3.820263302922686,3.415794723531453
7,3.5619398118820973,3.1243795552347713
8,3.3897124570841486,3.5685394286729633
9,3.234012156066895,3.252881521309782
10,3.151630892165556,2.940599114165435
11,3.023274081224507,3.742444283273301
12,2.991271749533976,4.541588529269328
13,2.8691461885590104,3.17324404453637
14,2.8107980843302243,2.9687468206324
15,2.7303355981772905,2.8331193645470645
16,2.696411628443598,2.771226190116511
17,2.6662400681323533,2.8622833506651952
18,2.561001655683089,3.117586295479543
19,2.5631441736109846,2.8416320854568333
20,2.572609928685388,2.871801496343177
21,2.4977577453693933,2.7431215476216995
22,2.4772514156752163,2.8142427955592026
23,2.4677672856029718,2.8257217205003533
24,2.4178136550401197,3.036015482952725
25,2.3754393054238703,2.9691493040719408
26,2.3720809470782998,3.0823045836530363
27,2.3614351194364533,3.0178273344018476
28,2.3479023514675603,2.815643285450998
29,2.276919766121275,2.807315700949156
30,2.2381003885983017,2.872946878476765
31,2.2663511437092425,2.7787645854755256
32,2.2503678891380132,2.82351964549523
33,2.201632584113831,3.066397501564154
34,2.2059831941680055,2.912009719761395
35,2.2009940563872403,2.9648766310986066
36,2.181581722280004,2.977795238520991
37,2.1184054059685495,2.8646083107493454
38,2.1414876888465666,2.932634394356288
39,2.1937154384262563,2.949450124653942
40,2.129777074757039,2.8998501853215046
41,2.0722602668535814,3.1204338989726015
42,2.0830551306520384,2.942860346243114
43,2.0481526336531535,3.033546191475616
44,2.02650905967628,3.068824064635733
45,2.018702331787151,3.389721060720322
46,2.0283908087522162,3.0490715607629144
47,2.0048605818881495,2.931985138017714
48,1.9946454132483222,2.9595653984040546
49,2.0320453998567283,3.155548217617736
50,1.9626603908357747,3.105516788377386
51,2.5699307131565035,2.017534677938139
52,2.412471165302266,2.101434038261551
53,2.3120533768218055,2.0953581165491766
54,2.237533587260505,2.1396681586332704
55,2.209510223621402,2.173902894443547
56,2.176415325983105,2.214024668363692
57,2.145943045642836,2.302703300076284
58,2.1363330409340158,2.356087377854452
59,2.0934984868501187,2.394825425707991
60,2.0853713377796295,2.390723077182868
61,2.049425975283328,2.364250486649689
62,2.0149689217245914,2.4623265840700825
63,1.9974125997043304,2.7907975742665236
64,2.013875157065833,2.4561934665357703
65,1.9881925341826368,2.586022119571381
66,1.9872362410487108,2.640514383568727
67,1.9432162841302332,2.667320848633069
68,1.9373591840393911,2.622069889067224
69,1.9300599253933257,2.6045853957911826
70,1.9458201805943935,2.692181530866167
71,1.8944910504172037,2.6927131672307105
72,1.9159388565300681,2.7190006951777774
73,1.909024320157716,2.727816145481866
74,1.8870648616093488,2.7120173652920796
75,1.888260183171823,2.6774560798990175
76,1.883763610492571,2.769581006109029
77,1.8795235304237088,2.7583476243518854
78,1.8702361069623572,2.7931418856790367
79,1.8575193394480463,2.937670053073832
80,1.8290989261087869,2.8140730158798823
81,1.8607860452386134,2.7981462009883797
82,1.850191946877182,3.1480922422101023
83,1.84265659258809,2.93545813529789
84,1.8163399182288515,2.799905580595737
85,1.8357700800556493,3.1870010446675208
86,1.8213896773041853,2.8371460354988183
87,1.8232127896627133,2.765140673699933
88,1.7944936700453638,2.854608587208384
89,1.8052491645350555,3.0194289931401634
90,1.7939258619342464,2.904506630244719
91,1.7818315726122174,2.8698613603333794
92,1.778163644996897,2.996001842114781
93,1.7931963087694163,2.8728153894167066
94,1.7806384604217178,2.9614744440060545
95,1.8163899642777164,2.926734864260789
96,1.7836173109670854,2.931732567971838
97,1.758096493263954,2.9816714147557803
98,1.7624581136368318,2.940506622553281
99,1.7663023484793747,2.8726842677726236
100,1.733781850139775,3.0087897098628797
101,2.35232135823055,1.901615361617279
102,2.1475296021558985,1.952539862267562
103,2.0854767714122535,1.9860021955758878
104,2.0491449447619905,1.995683584888172
105,2.0183226525224343,2.166468620883167
106,1.9740608120580243,2.1461836285884885
107,1.9518686539315735,2.234331308063243
108,1.9260542216950283,2.3869733690615775
109,1.938040196976239,2.5842443843355443
110,1.9016557275498414,2.306294154765148
111,1.882404168265226,2.4207415169474094
112,1.8649417802482486,2.3788831082805926
113,1.860935647570334,2.404364844630935
114,1.851036496517354,2.4580145069414927
115,1.8333998731756784,2.645356366586916
116,1.8451439017727498,2.5010330405196335
117,1.7944647958825222,2.533274398953925
118,1.8279387552102657,2.5271088120538794
119,1.8000232778182312,2.724575987294604
120,1.8080687178162327,2.568095777218762
121,1.7865868847686623,2.616482506121513
122,1.7499053903899167,2.5852463079691415
123,1.7720739140249802,2.750361040492332
124,1.7692638627447979,2.6394031571587075
125,1.7422164081863114,2.730410953844872
126,1.7582059560138708,2.9902775730363955
127,1.7524367441158786,2.690134365482845
128,1.7368813927569153,2.7582289414386656
129,1.7338379637232557,2.863819238580184
130,1.7452503033458726,2.871969691966471
131,1.7263030752328947,2.7156564815907953
132,1.735736481793802,2.815832449317633
133,1.7265800788414538,3.025723755460005
134,1.7169987689015542,2.759263703031951
135,1.721562663051232,2.715477504338182
136,1.7185137329304963,2.7810635808156237
137,1.7314784355696478,2.939139074049443
138,1.7014636469035471,2.7456738828527056
139,1.7227751672400098,2.934989258411607
140,1.7145427189496103,2.8037944735275984
141,1.7186686360575019,2.797593044754267
142,1.6923909437795905,2.790994077956218
143,1.7062545907690014,2.8142102253128694
144,1.7057971468770854,3.068183203386251
145,1.6963329851878381,2.827904052394862
146,1.6891561253069058,2.8246228403421014
147,1.7005043968414293,2.7978192306365037
148,1.6764511561533417,2.860683119823885
149,1.687346048293201,2.9286707368716565
150,1.7064909759460252,2.8144201015259913
